DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities
Azamgarh,MUBARAKPUR,GEN,SHAH ALAM URF GUDDU JAMALI,M,GEN,43,BSP,70705,1,0,Post Graduate,"Rs 1,18,76,21,354","Rs 2,85,34,000"
Chandauli,MUGHALSARAI,GEN,BABBAN,M,GEN,47,PMSP,7811,4,0,8th Pass,"Rs 13,63,03,000","Rs 3,05,98,000"
Mau,MUHAMMADABAD-GOHNA,GEN,BAIJNATH,M,SC,52,SP,59871,3,0,10th Pass,"Rs 1,01,91,995","Rs 2,91,628"
Mau,MUHAMMADABAD-GOHNA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1945,4,0,0,0,0
Jaunpur,MUNGRA BADSHAHPUR,GEN,AJAY SHANKAR DUBEY,M,GEN,37,INC,59288,3,0,Post Graduate,"Rs 4,20,49,447","Rs 38,11,766"
Jaunpur,MUNGRA BADSHAHPUR,GEN,SUBHASHCHANDRA,M,GEN,47,CPI,2429,4,0,Literate,"Rs 24,84,200","Rs 1,25,000"
Jaunpur,MUNGRA BADSHAHPUR,GEN,SUSHMA,F,GEN,30,BSP,69557,1,0,Doctorate,"Rs 1,53,53,000","Rs 25,60,000"
Ghaziabad,MURADNAGAR,GEN,AJIT PAL TYAGI,M,GEN,43,BJP,140759,1,0,Graduate Professional,"Rs 5,88,49,760","Rs 31,00,000"
Ghaziabad,MURADNAGAR,GEN,SUDHAN KUMAR,M,GEN,50,BSP,51147,2,0,Graduate,"Rs 33,30,37,721",Rs 0
Muzaffarnagar,MUZAFFAR NAGAR,GEN,GAURAV SWARUP BANSAL,M,GEN,47,SP,87134,2,0,Graduate,"Rs 3,37,27,841","Rs 94,40,436"
Muzaffarnagar,MUZAFFAR NAGAR,GEN,KAPIL DEV AGARWAL,M,GEN,53,BJP,97838,1,0,Graduate,"Rs 1,45,97,109","Rs 43,65,284"
Muzaffarnagar,MUZAFFAR NAGAR,GEN,PAYAL MAHESHWARI,F,GEN,29,RLD,5640,4,0,Literate,"Rs 91,72,637","Rs 14,37,562"
Muzaffarnagar,MUZAFFAR NAGAR,GEN,RAKESH KUMAR SHARMA,M,GEN,45,BSP,21038,3,0,Graduate,"Rs 45,85,401","Rs 24,22,359"
Bijnor,NAGINA,SC,NEELAM,F,SC,26,AIMIM,4385,4,0,Literate,"Rs 94,31,000",Rs 0
Bijnor,NAGINA,SC,OMWATI DEVI,F,SC,67,BJP,69178,2,0,8th Pass,"Rs 3,32,70,845",Rs 0
Bijnor,NAGINA,SC,VIRENDRA PAL,M,SC,31,BSP,49693,3,0,Post Graduate,"Rs 1,15,69,798",Rs 0
Bijnor,NAJIBABAD,GEN,LEENA SINGHAL,F,GEN,44,RLD,3587,4,0,Post Graduate,"Rs 2,27,75,598","Rs 16,38,100"
Bijnor,NAJIBABAD,GEN,RAJIV KUMAR AGARWAL,M,GEN,52,BJP,79080,2,0,Post Graduate,"Rs 1,47,57,253","Rs 17,38,467"
Bijnor,NAJIBABAD,GEN,TASLEEM AHMAD,M,GEN,56,SP,81082,1,0,Literate,"Rs 1,14,11,983","Rs 13,99,252"
Saharanpur,NAKUR,GEN,DR.DHARAM SINGH SAINI,M,GEN,60,BJP,94375,1,0,Graduate Professional,"Rs 6,55,99,100","Rs 1,37,97,000"
Saharanpur,NAKUR,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1232,4,0,0,0,0
Baharaich,NANPARA,GEN,ABDUL WAHEED,M,GEN,53,BSP,25430,3,0,Graduate,"Rs 98,62,100","Rs 4,90,186"
Baharaich,NANPARA,GEN,KULERAJ YADAV,M,GEN,53,CPI,3131,4,0,12th Pass,"Rs 32,80,800",Rs 0
Baharaich,NANPARA,GEN,SMT MADHURI VERMA,F,GEN,55,BJP,86312,1,0,10th Pass,"Rs 2,11,52,761","Rs 5,82,832"
Baharaich,NANPARA,GEN,SRI WARIS ALI,M,GEN,56,INC,67643,2,0,Post Graduate,"Rs 2,81,36,068","Rs 35,21,148"
Banda,NARAINI,SC,BHARATLAL,M,SC,32,INC,47405,2,0,Post Graduate,"Rs 57,04,416","Rs 37,615"
Banda,NARAINI,SC,GAYACHARAN DINKER,M,SC,56,BSP,44610,3,0,12th Pass,"Rs 38,24,262",Rs 0
Banda,NARAINI,SC,N-O-T-A,NULL,NULL,NULL,NOTA,3655,4,0,0,0,0
Amroha,NAUGAWAN SADAT,GEN,ASHFAQ ALI KHAN,M,GEN,48,RLD,14597,4,0,Graduate Professional,"Rs 1,29,50,634","Rs 7,98,125"
Amroha,NAUGAWAN SADAT,GEN,CHETAN CHAUHAN,M,GEN,69,BJP,97030,1,0,Graduate,"Rs 6,78,81,230","Rs 57,31,416"
Amroha,NAUGAWAN SADAT,GEN,JAIDEV,M,GEN,43,BSP,40172,3,0,8th Pass,"Rs 4,54,49,200","Rs 14,00,149"
Amroha,NAUGAWAN SADAT,GEN,JAVED ABBAS,M,GEN,51,SP,76382,2,0,Post Graduate,"Rs 3,92,72,000",Rs 0
Maharajganj,NAUTANWA,GEN,AIJAZ AHMAD,M,GEN,37,BSP,26210,4,0,12th Pass,"Rs 52,30,68,789","Rs 21,70,638"
Maharajganj,NAUTANWA,GEN,SAMEER TRIPATHI,M,GEN,39,BJP,45050,3,0,12th Pass,"Rs 2,50,49,968",Rs 0
Bareilly,NAWABGANJ,GEN,KESAR SINGH,M,GEN,60,BJP,93711,1,0,12th Pass,"Rs 3,32,00,802","Rs 12,46,906"
Bareilly,NAWABGANJ,GEN,VIRENDERA SINGH GANGWAR,M,GEN,60,BSP,18948,4,0,12th Pass,"Rs 2,21,49,461","Rs 34,61,228"
Bijnor,NEHTAUR,SC,MUNNALAL PREMI,M,SC,63,INC,53493,2,0,Not Given,"Rs 53,42,284",Rs 0
Bijnor,NEHTAUR,SC,OMKUMAR,M,SC,50,BJP,76644,1,0,12th Pass,"Rs 43,51,76,360","Rs 11,28,37,870"
Bijnor,NEHTAUR,SC,VIVEK SINGH,M,SC,27,BSP,47059,3,0,Post Graduate,"Rs 4,25,38,051",Rs 0
Kheri,NIGHASAN,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,2663,4,0,0,0,0
Azamgarh,NIZAMABAD,GEN,ALAMBADI,M,GEN,78,SP,67274,1,0,12th Pass,"Rs 40,04,435",Rs 0
Azamgarh,NIZAMABAD,GEN,JITENDRA,M,GEN,43,CPI,1366,4,0,Post Graduate,"Rs 10,11,449","Rs 23,213"
Gautam Buddha Nagar,NOIDA,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1787,4,0,0,0,0
